type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
city,Redmond,,408,316207,3.54E-06,0.475490196,9,118,466,0.175637394,0.165714286,0.135711258,-0.000911807,-0.081652661,-3,0.035087719,0.037861915,0.024611001
city,Renton,,290,157810,4.35E-05,0.293103448,22,115,377,0.210144928,0.013986014,0.338507209,-0.001165554,-0.091511936,4,-0.06504065,-0.073710074,0.033514493
city,Sammamish,,82,295323,-0.001295603,0.353658537,14,32,143,0.180412371,-0.196078431,-0.089563006,-0.003513499,-0.018890483,-10,0.230769231,0.243478261,0.038476887
city,Seatac,,29,116379,-0.006630219,0.206896552,28,22,54,0.330769231,0.115384615,-0.093112961,0.002244168,-0.062334218,21,-0.214285714,-0.018181818,0.164102564
city,Seattle,,3414,345526,0,0.336848272,8,"1,252","4,593",0.199920138,0.023995201,0.063863983,0,0.017112219,1,-0.027950311,-0.007562662,0.022901505
city,Shoreline,,132,189731,-0.001292295,0.21969697,30,47,166,0.26056338,-0.070422535,0.145040978,0.013951841,-0.01973965,13,-0.040816327,0.194244604,0.077512533
city,Skykomish,,0,,,,,0,0,,,,,,,,,
city,Snohomish,,107,202480,0,0.186915888,41,33,89,0.175,0.910714286,0.254336406,0.001995564,-0.009512684,-3,0.434782609,0.098765432,0.057352941
city,Snoqualmie,,44,287181,-0.009247886,0.25,18,21,42,0.227642276,-0.254237288,0.024059137,-0.007748494,-0.055084746,-3,-0.086956522,-0.4,0.148505586
city,Stanwood,,7,194285,-0.040378149,0,72,4,8,0.384615385,1.333333333,,,,,-0.764705882,-0.764705882,0.111888112
city,Sultan,,6,164900,0.017428571,0.5,45,1,4,0,,,,,,,0.333333333,0
city,Tukwila,,18,113500,-0.062156011,0.166666667,16,13,50,0.192307692,-0.6,0.443414343,-0.022899409,0.011111111,17,0,0.041666667,-0.08974359
city,Tulalip,,0,,,,,0,0,,,,,,,,,
city,Vashon,,0,,,,,1,3,,-1,,,,,,-0.25,
city,Woodinville,,63,136031,-0.000634921,0.222222222,17,13,41,0.2875,0.086206897,0.054790059,-0.031605596,-0.432950192,-11,-0.315789474,-0.388059701,0.225
city,Woodway,,0,,,,,0,0,,,,,,,,,
city,Yarrow Point,,0,,,,,0,0,,,,,,,,,
neighborhood,Arlington,Edgecomb,9,194911,-0.01293381,0,92,1,3,0.375,,,,,,,-0.571428571,0.375
neighborhood,Auburn,Berkshire Glen,0,,,,,0,0,,,,,,,,,
neighborhood,Auburn,Christopher,17,80470,-0.03003557,0,38,8,11,0.127659574,1.428571429,-0.393982754,0.019958152,0,19,,2.666666667,0.127659574
neighborhood,Auburn,Downtown,0,,,,,0,0,,,,,,,,,
neighborhood,Auburn,Green Valley,0,,,,,0,0,,,,,,,,,
neighborhood,Auburn,Jovita,6,180000,-0.014879516,0,18,5,17,0.481481481,0,0.049868766,-0.010082235,-0.5,28,0,0.307692308,0.106481481
neighborhood,Auburn,Lake Dolloff,0,,,,,1,6,0.857142857,-1,,,,,,-0.142857143,0.5
neighborhood,Auburn,Lakeland,98,168032,-0.000711913,0.142857143,25,42,129,0.330677291,-0.228346457,-0.131042757,-7.17E-05,-0.282339708,23,-0.106382979,0.252427184,0.16870546
neighborhood,Auburn,Riverwalk,0,,,,,1,3,,-1,,,,,-0.666666667,0.5,
neighborhood,Auburn,Southeast of East Main Street,0,,,,,0,0,,,,,,,,,
neighborhood,Auburn,Stuck,7,71971,-0.038494297,0.571428571,43,2,5,0.333333333,1.333333333,,,,,-0.75,-0.642857143,-0.144927536
neighborhood,Beaux Arts,Beaux Arts,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Apple Valley,3,,,,,2,11,0.230769231,-0.5,,,,,,4.5,
neighborhood,Bellevue,Bridle Trails,6,262500,0.035867391,0,16,2,6,0.3,0,-0.272853186,0.040934042,-0.5,-7,-0.333333333,-0.666666667,0.3
neighborhood,Bellevue,City Center,48,683229,-0.024838769,0.0625,17,18,66,0.205607477,-0.622047244,-0.222614893,0.032853165,-0.016240157,32,-0.632653061,-0.371428571,0.102514693
neighborhood,Bellevue,City Center North,22,638818,-0.027210526,0.318181818,46,24,52,0.133802817,-0.5,0.712781959,-0.028422369,-0.045454545,-38,-0.414634146,-0.490196078,0.101282492
neighborhood,Bellevue,City Center South,21,407095,0.01169353,0.380952381,8,9,34,0.181818182,0.05,0.548036886,0.00326825,-0.119047619,6,0,-0.081081081,-0.044596913
neighborhood,Bellevue,Cougar Mountain,22,423734,0.002609,0.545454545,5,6,25,0.324324324,-0.541666667,0.242698231,0.003416616,0.045454545,6,-0.538461538,-0.545454545,0.140113798
neighborhood,Bellevue,Crossroads,63,264066,-0.025663032,0.253968254,23,19,79,0.243478261,0.536585366,0.466837755,-0.02352846,-0.307007356,-18,-0.269230769,0.179104478,0.107114625
