type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
city,Newcastle,,138,621477,0.001158005,0.514492754,9,63,261,0.185676393,-0.28125,0.120699169,0.000584094,0.10303442,2,0.016129032,0.078512397,0.0543091
city,Normandy Park,,68,449520,-0.019867488,0.191176471,13,45,145,0.323420074,-0.105263158,0.088149502,-0.027576192,-0.164086687,2,0.046511628,-0.058441558,0.183885191
city,North Bend,,239,440206,0,0.464435146,7,130,404,0.297953964,-0.170138889,0.08702502,0,0.01651848,15,-0.022556391,0.12849162,0.085188007
city,Pacific,,26,195016,-0.01315205,0.115384615,52,19,57,0.24137931,-0.694117647,-0.07045825,-0.016248439,-0.590497738,-35,-0.296296296,-0.278481013,0.01637931
city,Preston,,12,541766,-0.012416915,0,7,3,8,0.153846154,0.714285714,0.281270472,-0.012416915,0,2,-0.4,-0.578947368,-0.02006689
city,Ravensdale,,23,495404,-0.021165944,0.130434783,115,16,35,0.216494845,-0.425,0.264188836,-0.009203214,0.130434783,-61,-0.304347826,-0.396551724,-0.102345734
city,Redmond,,952,636710,0.000708423,0.474789916,7,392,1522,0.185106383,-0.137681159,0.080290064,0.000406544,-0.062347765,0,-0.002544529,0.061366806,0.052310456
city,Renton,,1349,354182,0,0.360266864,14,588,2064,0.216959728,-0.117724003,0.07575302,0,-0.074003901,-4,0.126436782,0.05629478,0.066895871
city,Sammamish,,815,712528,0.000633167,0.465030675,7,325,1288,0.176229508,-0.120819849,0.057626112,0.000628569,-0.009618732,0,0.018808777,-0.016793893,0.061629822
city,Seatac,,179,233651,0,0.25698324,30,75,250,0.321428571,-0.091370558,0.113392581,-0.0003626,-0.067889856,17,-0.0625,0.121076233,0.128482513
city,Seattle,,5704,493405,0.000313963,0.489130435,7,2054,8449,0.174604462,-0.137326074,0.09297988,0.000304709,0.032838844,0,-0.076023392,-0.041193827,-0.00138534
city,Shoreline,,602,356440,0.00094076,0.441860465,9,209,763,0.22133758,0.142314991,0.081140105,0.000838973,-0.004059838,1,-0.027906977,-0.106557377,0.023969159
city,Skykomish,,4,28000,-0.222222222,0,67,13,18,0.192307692,0.333333333,,,,,0.625,1.571428571,0.032307692
city,Snohomish,,664,400251,0,0.227409639,19,374,1234,0.250780901,-0.168961202,0.159838536,0,-0.090487733,-5,0.087209302,0.019834711,0.046808033
city,Snoqualmie,,275,494249,-0.001024063,0.301818182,11,142,522,0.179788484,-0.110032362,0.042262045,-0.001024063,-0.141547514,6,0.213675214,0.154867257,0.03550277
city,Stanwood,,228,305081,-0.000999508,0.219298246,50,181,470,0.300551471,-0.359550562,0.029920532,-0.000999508,-0.100926473,-15,0.052325581,0.056179775,0.092621103
city,Sultan,,64,179664,-0.012388152,0.125,31,40,136,0.266666667,0.20754717,0.232094363,0.010348574,-0.176886792,50,0.111111111,0.528089888,0.182554517
city,Tukwila,,140,225088,0,0.292857143,16,55,169,0.19939577,0.085271318,0.064734181,0.001133191,-0.055980066,17,-0.202898551,-0.066298343,-0.036181153
city,Tulalip,,51,222666,-0.014416346,0.215686275,23,65,187,0.21483376,0.186046512,-0.157974747,-0.011713097,-0.179662563,-2,0.326530612,0.364963504,-0.021652727
city,Vashon,,168,444877,-0.005420208,0.18452381,18,96,310,0.173310225,0.191489362,0.049468398,0.00205296,-0.042426545,2,-0.127272727,0.148148148,-0.043356441
city,Woodinville,,486,582775,0,0.364197531,8,196,784,0.21106383,0.018867925,0.077700191,0.000599934,0.064407174,2,-0.024875622,0.02617801,0.014043962
city,Woodway,,19,1012889,-0.039349301,0.157894737,27,11,44,0.140350877,-0.321428571,0.280170725,-0.029554724,-0.163533835,-4,0,-0.102040816,
city,Yarrow Point,,15,1807920,-0.014037607,0.2,20,11,25,,-0.375,0.17978408,0.01710858,-0.05,-3,0,-0.21875,
neighborhood,Arlington,Edgecomb,69,281747,-0.002719101,0.144927536,28,34,114,0.379310345,-0.41025641,-0.058788355,-0.000747331,-0.05165366,-5,0.0625,-0.05785124,0.164650659
neighborhood,Auburn,Berkshire Glen,43,321395,-0.002571602,0.441860465,30,15,54,0.358695652,-0.547368421,0.107991175,-0.002571602,-0.02129743,0,-0.4,-0.386363636,0.317879326
neighborhood,Auburn,Christopher,14,205428,0.008339916,0.214285714,31,16,51,0.234042553,-0.65,0.203479891,-0.020325737,-0.285714286,-3,0.6,0.243902439,-0.077432857
neighborhood,Auburn,Downtown,45,162200,-0.002978065,0.311111111,39,18,61,0.390909091,0.071428571,-0.136329026,-0.001703589,0.073015873,-13,-0.181818182,0.173076923,0.200069396
neighborhood,Auburn,Green Valley,32,304839,-0.007230644,0.21875,50,17,40,0.32,0,0.18242187,0.017375988,0.03125,6,0.0625,-0.111111111,0.224255319
neighborhood,Auburn,Jovita,306,271908,0,0.330065359,49,163,424,0.278571429,-0.052631579,-0.025188754,0,-0.193154455,-35,-0.057803468,-0.223443223,0.138610039
neighborhood,Auburn,Lake Dolloff,61,257794,0.003346461,0.327868852,24,28,92,0.238095238,0.355555556,0.029915384,0.004461055,0.172313297,-5,0.076923077,0.108433735,0.082251082
neighborhood,Auburn,Lakeland,415,300469,0,0.397590361,30,143,407,0.22403734,0.26911315,0.12008723,0,-0.064183339,-8,0.014184397,0.059895833,0.053421226
neighborhood,Auburn,Riverwalk,14,265207,0.009388919,0.214285714,113,4,16,0.269230769,0.4,0.209610034,0.009670723,-0.185714286,-80,-0.2,0.454545455,0.102564103
neighborhood,Auburn,Southeast of East Main Street,34,161439,-0.003495896,0.294117647,30,8,31,0.4,1.833333333,-0.210486162,-0.001265563,0.044117647,30,0,1.583333333,0.025
neighborhood,Auburn,Stuck,7,224950,-0.012992919,0,18,6,17,0.214285714,-0.461538462,0.203726495,-0.0130362,-0.230769231,63,,0.7,0.214285714
neighborhood,Beaux Arts,Beaux Arts,4,969000,0.009375,0,24,4,8,0.125,0.333333333,,,,,0.333333333,0.333333333,
neighborhood,Bellevue,Apple Valley,7,1600000,-0.036383522,0,10,4,16,0.181818182,1.333333333,,,,,-0.2,0.333333333,
neighborhood,Bellevue,Bridle Trails,27,987777,0.001633056,0.407407407,19,32,99,0.296296296,-0.727272727,0.113629369,0.001227534,0.003367003,-14,0.185185185,-0.1,0.177546296
