region,city,neighborhood,sold,price,toList,aboveList,dom,forSale,drop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,dropYoY
city,Sultan,,65,181263,-0.007,0.169,37,37,0.249,0.3,0.282,0.019,-0.111,45,0.057,0.155
city,Tukwila,,118,221644,-0.001,0.305,19,52,0.21,-0.099,0.074,-0.001,-0.054,17,-0.235,-0.015
city,Tulalip,,45,224997,-0.005,0.267,25,60,0.221,0.023,-0.158,-0.003,-0.074,-2,0.304,-0.001
city,Vashon,,130,404304,-0.017,0.185,27,86,0.187,0.04,-0.054,-0.01,-0.031,-6,-0.189,-0.04
city,Woodinville,,400,570196,0,0.365,11,179,0.195,-0.127,0.07,0.001,0.068,0,-0.068,0.001
city,Woodway,,9,1107656,-0.083,0,56,10,0.16,-0.679,0.437,-0.068,-0.25,-24,-0.091,0.129
city,Yarrow Point,,9,2010978,0.018,0.444,3,9,,-0.625,0.227,0.058,0.236,15,-0.182,
neighborhood,Arlington,Edgecomb,69,276588,-0.004,0.101,32,31,0.353,-0.415,-0.081,-0.002,-0.077,-1,-0.031,0.141
neighborhood,Auburn,Berkshire Glen,36,310288,-0.005,0.361,39,16,0.367,-0.604,0.071,-0.005,-0.122,-8,-0.36,0.334
neighborhood,Auburn,Christopher,19,207947,0,0.211,39,14,0.198,-0.537,0.174,-0.023,-0.253,7,0.4,-0.124
neighborhood,Auburn,Downtown,43,156442,-0.003,0.349,24,18,0.385,0.132,-0.133,0.005,0.138,3,-0.182,0.205
neighborhood,Auburn,Green Valley,28,286964,-0.012,0.25,62,15,0.355,-0.176,0.148,0.006,0.074,-12,-0.063,0.233
neighborhood,Auburn,Jovita,264,276964,0,0.292,71,155,0.261,-0.165,0.006,0,-0.218,-51,-0.077,0.13
neighborhood,Auburn,Lake Dolloff,53,251981,0.004,0.283,28,26,0.212,0.359,0.009,0.002,0.078,-8,0.04,0.07
neighborhood,Auburn,Lakeland,350,300496,0,0.434,29,140,0.199,0.064,0.127,0,-0.013,-4,-0.014,0.021
neighborhood,Auburn,Riverwalk,11,262627,0.003,0,96,4,0.286,0.1,0.198,0.004,-0.4,-62,-0.2,0.107
neighborhood,Auburn,Southeast of East Main Street,32,155341,-0.003,0.313,25,9,0.389,2.2,-0.232,0,0.113,34,0,0.043
neighborhood,Auburn,Stuck,7,224950,-0.013,0,18,5,0.129,-0.462,0.175,-0.018,-0.308,38,1.5,0.062
neighborhood,Beaux Arts,Beaux Arts,4,969000,0.009,0,24,4,0.143,,,,,,1,
neighborhood,Bellevue,Apple Valley,7,1600000,-0.036,0,10,3,0.25,,,,,,-0.25,
neighborhood,Bellevue,Bridle Trails,25,967000,0.01,0.44,18,28,0.249,-0.74,0.061,0.008,0.034,-13,0.077,0.122
neighborhood,Bellevue,Cherry Crest,2,,,,,1,,-0.913,,,,,,
neighborhood,Bellevue,City Center,0,,,,,0,,,,,,,,
neighborhood,Bellevue,City Center North,0,,,,,0,,,,,,,,
neighborhood,Bellevue,City Center South,0,,,,,0,,,,,,,,
neighborhood,Bellevue,Cougar Mountain,151,906304,0.006,0.576,9,61,0.082,-0.179,0.169,0.004,0.109,1,-0.265,-0.073
neighborhood,Bellevue,Crossroads,25,769360,-0.006,0.24,15,5,0,0.136,0.334,-0.042,-0.351,-7,-0.167,0
neighborhood,Bellevue,Downtown,0,,,,,1,0,,,,,,,0
neighborhood,Bellevue,East Lake Hills,9,523000,0.101,1,4,5,,0,0.22,0.088,0.556,9,0.667,
neighborhood,Bellevue,East Main,0,,,,,0,,,,,,,,
neighborhood,Bellevue,Enatai,47,1151574,-0.013,0.191,7,31,0.205,-0.266,0.177,-0.005,-0.199,12,0.069,0.018
neighborhood,Bellevue,Factoria,16,644000,0.092,1,4,6,0.179,-0.059,0.214,0.068,0.235,6,0,0.091
neighborhood,Bellevue,Forest Ridge II,2,,,,,2,,-0.333,,,,,,
